SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
02000179,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.5,7.25,6.25,,,,7.6,8.5,2022
02000180,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,3.75,,,5.75,4.25,3,9.2,,2022
02000181,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.25,,,6.5,6.5,4,6.4,,2022
02000182,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.25,,,7.75,7.5,5.25,7.8,,2022
02000183,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,,,5.5,6.25,4.5,7,,2022
02000184,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6,,,8.5,6.75,4.25,6.6,,2022
02000185,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.5,,,6.5,9.75,9.5,7.6,,2022
02000186,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,4.5,,,7.25,5.5,4.75,9.2,,2022
02000187,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7,7,8.5,,,,9,8,2022
02000188,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,4.75,6,4.75,7.4,,2022
02000189,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.75,,,6.25,6.5,4.75,6.6,,2022
02000190,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7,,,9,7.25,6.5,8.6,,2022
02000191,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,6.25,,,7.25,6.25,4,4.6,,2022
02000192,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7,8.25,7.75,,,,5.2,9,2022
02000193,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.5,8,7.75,,,,7.6,8.25,2022
02000194,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8,,,8,7.75,3.75,8.8,,2022
02000195,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.25,,,7.75,7.75,3.75,8.2,,2022
02000196,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7.25,,,5,6.25,3.75,7.8,,2022
02000197,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.75,6.75,7.5,,,,6.8,8,2022
02000198,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.75,7.75,6.75,,,,9,7.5,2022
02000199,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,8,5.5,6.5,,,,8,7.75,2022
02000200,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.5,8.5,7.25,,,,8.8,8.25,2022
02000201,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.5,7,6,,,,8.6,8,2022
02000202,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.75,,,5.75,5.25,4.75,5.6,,2022
02000203,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5,,,8.25,6.25,4,7.8,,2022
